time,open,high,low,close,Buy Raw,Liq Long,Sell Raw,Liq Short,Swing High,Swing Low,Bullish BOS,Bearish BOS,Bullish CHOCH,Bearish CHOCH
1754754660,3.2748,3.2754,3.269,3.2719,0,0,0,0,0,0,0,0,0,0
1754754840,3.2719,3.272,3.2687,3.2716,0,0,0,0,0,0,0,0,0,0
1754755020,3.2716,3.274,3.2694,3.2718,0,0,0,0,0,0,0,0,0,0
1754755200,3.2718,3.2797,3.2716,3.2745,0,0,0,0,0,0,0,0,0,0
1754755380,3.2745,3.2808,3.2721,3.2807,0,0,0,0,0,0,0,0,0,0
1754755560,3.2807,3.2807,3.2748,3.2775,0,0,0,0,0,0,0,0,0,0
1754755740,3.2775,3.2802,3.2736,3.2756,0,0,0,0,0,0,0,0,0,0
1754755920,3.2756,3.2809,3.2746,3.2806,0,0,0,0,0,0,0,0,0,0
1754756100,3.2806,3.2822,3.2745,3.2793,0,0,0,1,0,0,0,0,0,0
1754756280,3.2793,3.2859,3.2786,3.2829,0,0,0,0,0,0,0,0,0,0
1754756460,3.2829,3.2841,3.279,3.279,0,0,0,0,0,0,0,0,0,0
1754756640,3.279,3.2817,3.2765,3.2769,0,0,0,0,0,0,0,0,0,0
1754756820,3.2769,3.2777,3.2736,3.275,0,0,0,0,0,0,0,0,0,0
1754757000,3.275,3.2783,3.2714,3.2723,0,0,0,0,0,0,0,0,0,0
1754757180,3.2723,3.2772,3.265,3.2734,0,1,0,0,0,0,0,0,0,0
1754757360,3.2734,3.2759,3.2704,3.2729,0,0,0,0,1,0,0,0,0,0
1754757540,3.2729,3.2805,3.2723,3.28,0,0,0,0,0,0,0,0,0,0
1754757720,3.28,3.2813,3.2771,3.2771,0,0,0,1,0,0,0,0,0,0
1754757900,3.2771,3.2814,3.2753,3.2777,0,0,0,0,0,0,0,0,0,0
1754758080,3.2777,3.28,3.2723,3.2728,0,0,0,0,0,0,0,0,0,0
1754758260,3.2728,3.2755,3.2684,3.2725,0,0,0,0,0,1,0,0,0,0
1754758440,3.2725,3.2768,3.2695,3.2699,0,0,0,0,0,0,0,0,0,0
1754758620,3.2699,3.2726,3.2696,3.2709,0,0,0,0,0,0,0,0,0,0
1754758800,3.2709,3.2714,3.2657,3.2668,0,0,0,0,0,0,0,0,0,0
1754758980,3.2668,3.27,3.2659,3.2698,0,0,0,0,1,0,0,0,0,0
1754759160,3.2698,3.2788,3.2678,3.2751,0,0,0,0,0,0,0,0,0,0
1754759340,3.2751,3.2817,3.2741,3.2793,0,0,0,0,0,0,0,0,0,0
1754759520,3.2793,3.2811,3.2783,3.281,0,0,0,0,0,0,0,0,0,0
1754759700,3.281,3.2854,3.279,3.2828,0,0,0,0,0,0,1,0,0,0
1754759880,3.2828,3.2849,3.2803,3.2806,0,0,0,0,0,1,0,0,0,0
1754760060,3.2806,3.287,3.2803,3.2869,0,0,0,0,0,0,1,0,0,0
1754760240,3.2869,3.2869,3.2826,3.2853,0,0,0,0,0,0,1,0,0,0
1754760420,3.2853,3.2896,3.2847,3.2868,0,0,0,0,0,0,1,0,0,0
1754760600,3.2868,3.2886,3.2824,3.2835,0,0,0,0,0,0,1,0,0,0
1754760780,3.2835,3.2924,3.2821,3.292,0,0,0,0,0,0,1,0,0,0
1754760960,3.292,3.2976,3.2899,3.2907,0,0,0,1,0,0,1,0,0,0
1754761140,3.2907,3.2938,3.2884,3.2906,0,0,0,0,0,0,1,0,0,0
1754761320,3.2906,3.2918,3.2892,3.2897,0,0,0,0,0,0,1,0,0,0
1754761500,3.2897,3.2897,3.286,3.2883,0,0,0,0,0,0,1,0,0,0
1754761680,3.2883,3.2883,3.2816,3.285,0,0,0,0,0,0,1,0,0,0
1754761860,3.285,3.2867,3.2829,3.2846,0,0,0,0,0,0,1,0,0,0
1754762040,3.2846,3.2889,3.2845,3.2871,0,0,0,0,1,0,0,0,0,0
1754762220,3.2871,3.2881,3.2835,3.2835,0,0,0,0,0,0,0,0,0,0
1754762400,3.2835,3.2835,3.2757,3.2793,0,0,0,0,0,0,0,0,0,0
1754762580,3.2793,3.282,3.2771,3.278,0,0,0,0,0,0,0,0,0,0
1754762760,3.278,3.2826,3.2772,3.2801,0,0,0,0,0,0,0,0,0,0
1754762940,3.2801,3.283,3.2799,3.2802,0,0,0,0,0,0,0,0,0,0
1754763120,3.2802,3.282,3.2778,3.2808,0,0,0,0,0,0,0,0,0,0
1754763300,3.2808,3.2821,3.2787,3.2806,0,0,0,0,0,0,0,0,0,0
1754763480,3.2806,3.2864,3.2796,3.2837,0,0,0,0,0,1,0,0,0,0
1754763660,3.2837,3.2884,3.2835,3.2854,0,0,0,0,0,0,0,0,0,0
1754763840,3.2854,3.2884,3.2849,3.287,0,0,0,0,0,0,0,0,0,0
1754764020,3.287,3.287,3.2841,3.2846,0,0,0,0,0,0,0,0,0,0
1754764200,3.2846,3.2863,3.2775,3.2847,0,1,0,0,0,0,0,0,0,0
1754764380,3.2847,3.2854,3.2817,3.2834,0,0,0,0,0,0,0,0,0,0
1754764560,3.2834,3.2876,3.2802,3.2845,0,0,0,0,0,0,0,0,0,0
1754764740,3.2845,3.2864,3.2819,3.2819,0,0,0,0,0,0,0,0,0,0
1754764920,3.2819,3.2837,3.2807,3.2807,0,0,0,0,0,0,0,0,0,0
